Group Size | Take-From-Adjacent | Take-From-Across
    186    |        117         |       129
    187    |        119         |       131
    188    |        121         |       133
    189    |        123         |       135
    190    |        125         |       137
    191    |        127         |       139
    192    |        129         |       141
    193    |        131         |       143
    194    |        133         |       145
    195    |        135         |       147
    196    |        137         |       149
    197    |        139         |       151
    198    |        141         |       153
    199    |        143         |       155
    200    |        145         |       157
    201    |        147         |       159
    202    |        149         |       161
    203    |        151         |       163
    204    |        153         |       165
    205    |        155         |       167
    206    |        157         |       169
    207    |        159         |       171
    208    |        161         |       173
    209    |        163         |       175
    210    |        165         |       177
    211    |        167         |       179
    212    |        169         |       181
    213    |        171         |       183
    214    |        173         |       185
    215    |        175         |       187
    216    |        177         |       189
    217    |        179         |       191
    218    |        181         |       193
    219    |        183         |       195
    220    |        185         |       197
    221    |        187         |       199
    222    |        189         |       201
    223    |        191         |       203
    224    |        193         |       205
    225    |        195         |       207
    226    |        197         |       209
    227    |        199         |       211
    228    |        201         |       213
    229    |        203         |       215
    230    |        205         |       217
    231    |        207         |       219
    232    |        209         |       221
    233    |        211         |       223
    234    |        213         |       225
    235    |        215         |       227
    236    |        217         |       229
    237    |        219         |       231
    238    |        221         |       233
    239    |        223         |       235
    240    |        225         |       237
    241    |        227         |       239
    242    |        229         |       241
    243    |        231         |       243
    244    |        233         |         1
    245    |        235         |         2
    246    |        237         |         3
    247    |        239         |         4
    248    |        241         |         5
    249    |        243         |         6
    250    |        245         |         7
    251    |        247         |         8
    252    |        249         |         9
    253    |        251         |        10
    254    |        253         |        11
